Service: appconfig | Quota: Maximum number of deployment strategies
Service: appconfig | Quota: Maximum number of applications
Service: autoscaling | Quota: Auto Scaling groups per region
Service: cloudformation | Quota: Throttle rate limit for ListStackResources
Service: cloudformation | Quota: Throttle rate limit for DescribeAccountLimits
Service: cloudformation | Quota: Throttle rate limit for DescribeStacks
Service: cloudformation | Quota: Throttle rate limit for ListStacks
Service: cloudformation | Quota: Stacks
Service: cloudformation | Quota: Stack sets per administrator account
Service: cloudtrail | Quota: Transactions per second (TPS) for the LookupEvents API
Service: cloudtrail | Quota: Trails per region
Service: dynamodb | Quota: Account-level write throughput limit (Provisioned mode)
Service: dynamodb | Quota: Account-level read throughput limit (Provisioned mode)
Service: dynamodb | Quota: Maximum number of tables
Service: ec2 | Quota: Running On-Demand Standard (A, C, D, H, I, M, R, T, Z) instances
Service: ecr | Quota: Rate of GetAuthorizationToken requests
Service: ecr | Quota: Rate of BatchGetImage requests
Service: ecr | Quota: Rate of GetDownloadUrlForLayer requests
Service: elasticache | Quota: Subnet groups per Region
Service: elasticache | Quota: Users per Region
Service: elasticache | Quota: Nodes per cluster (cluster mode enabled)
Service: elasticache | Quota: Nodes per Region
Service: elasticache | Quota: Subnets per subnet group
Service: elasticloadbalancing | Quota: Rules per Application Load Balancer
Service: elasticloadbalancing | Quota: Network Load Balancer ENIs per VPC
Service: elasticloadbalancing | Quota: Target Groups per Application Load Balancer
Service: elasticloadbalancing | Quota: Listeners per Application Load Balancer
Service: elasticloadbalancing | Quota: Certificates per Network Load Balancer
Service: elasticloadbalancing | Quota: Certificates per Application Load Balancer
Service: elasticloadbalancing | Quota: Targets per Availability Zone per Network Load Balancer
Service: elasticloadbalancing | Quota: Targets per Network Load Balancer
Service: elasticloadbalancing | Quota: Condition Values per Rule
Service: elasticloadbalancing | Quota: Condition Wildcards per Rule
Service: elasticloadbalancing | Quota: Target Groups per Region
Service: elasticloadbalancing | Quota: Target Groups per Action per Application Load Balancer
Service: elasticloadbalancing | Quota: Listeners per Network Load Balancer
Service: elasticloadbalancing | Quota: Targets per Target Group per Region
Service: elasticloadbalancing | Quota: Targets per Application Load Balancer
Service: elasticloadbalancing | Quota: Application Load Balancers per Region
Service: elasticloadbalancing | Quota: Network Load Balancers per Region
Service: elasticmapreduce | Quota: The maximum number of ListClusters API requests that you can make per second.
Service: events | Quota: Invocations throttle limit in transactions per second
Service: firehose | Quota: Delivery streams
Service: iotcore | Quota: ListThings API TPS
Service: kinesis | Quota: Shards per Region
Service: kms | Quota: GetKeyPolicy request rate
Service: kms | Quota: CreateGrant request rate
Service: kms | Quota: ListGrants request rate
Service: kms | Quota: Customer Master Keys (CMKs)
Service: kms | Quota: Cryptographic operations (symmetric) request rate
Service: kms | Quota: DescribeKey request rate
Service: logs | Quota: PutRetentionPolicy throttle limit in transactions per second
Service: logs | Quota: CreateLogGroup throttle limit in transactions per second
Service: logs | Quota: DescribeLogGroups throttle limit in transactions per second
Service: logs | Quota: FilterLogEvents throttle limit in transactions per second
Service: logs | Quota: DescribeLogStreams throttle limit in transactions per second
Service: logs | Quota: CreateLogStream throttle limit in transactions per second
Service: logs | Quota: PutLogEvents throttle limit in transactions per second
Service: logs | Quota: DescribeMetricFilters throttle limit in transactions per second
Service: monitoring | Quota: Rate of GetMetricData requests
Service: monitoring | Quota: Rate of GetMetricStatistics requests
Service: monitoring | Quota: Rate of PutMetricData requests
Service: monitoring | Quota: Rate of DescribeAlarms requests
Service: monitoring | Quota: Number of Contributor Insights rules
Service: rds | Quota: Parameter groups
Service: rds | Quota: Read replicas per primary
Service: rds | Quota: Subnets per DB subnet group
Service: rds | Quota: DB subnet groups
Service: rds | Quota: DB instances
Service: rds | Quota: Manual DB instance snapshots
Service: rds | Quota: Total storage for all DB instances
Service: servicequotas | Quota: Throttle rate for ListAWSDefaultServiceQuotas
Service: servicequotas | Quota: Throttle rate for ListServiceQuotas
Service: servicequotas | Quota: Throttle rate for GetServiceQuota
Service: servicequotas | Quota: Throttle rate for GetAWSDefaultServiceQuota
Service: servicequotas | Quota: Throttle rate for ListServices
Service: sns | Quota: Messages Published per Second
Service: sns | Quota: ListTagsForResource Transactions per Second
Service: sns | Quota: ListTopics Transactions per Second
Service: sns | Quota: GetTopicAttributes Transactions per Second
Service: ssm | Quota: Transactions per second (TPS) for the GetAutomationExecution API
Service: ssm | Quota: Systems Manager managed node fleet size
Service: ssm | Quota: Transactions per second (TPS) for the GetDeployablePatchSnapshotForInstance API
Service: ssm | Quota: Concurrently executing rate control automation
Service: ssm | Quota: Transactions per second (TPS) for the PutComplianceItems API
Service: ssm | Quota: Standard parameters
Service: ssm | Quota: Describe instance (node) information rate
Service: ssm | Quota: Concurrently executing Automations
Service: ssm | Quota: Transactions per second (TPS) for the DescribeAssociation API
Service: ssm | Quota: Transactions per second (TPS) for the StartAutomationExecution API
Service: ssm | Quota: Rate of GetParameter requests
Service: ssm | Quota: Rate of DescribeParameters requests
Service: wafv2 | Quota: Maximum web ACLs per account in WAF for regional
Service: wafv2 | Quota: Maximum regex pattern sets per account in WAF for regional

